"正面（问题）","背面（答案）"
"Em um transformador, o que caracteriza um dispositivo ""elevador""?","Apresentar um número de espiras no secundário maior que no primário ($N_s > N_p$)."
"Na indução eletromagnética, como se converte energia mecânica em elétrica?","Através do trabalho realizado para mover um condutor ou ímã contra a força magnética induzida."
"Qual é a unidade de medida da força eletromotriz induzida no SI?","Volt ($V$)"
"O que é a Imantação Residual ($B_R$)?","A intensidade magnética que permanece em um material ferromagnético após o campo externo ser reduzido a zero."
"Como se define a Potência Média em um resistor sob corrente alternada?","$Pot_m = U_{ef} \cdot i_{ef} = R \cdot i_{ef}^2$"
"O que representa o fator $\cos \theta$ na fórmula do fluxo magnético?","O ângulo entre o vetor indução magnética e o vetor normal à superfície da espira."
"Em uma usina hidrelétrica, qual componente é responsável por girar a armadura do gerador?","A turbina, movida pela energia potencial gravitacional da queda d'água."
"Qual é a principal vantagem do uso de corrente alternada para transmissão a longa distância?","A facilidade de elevar a tensão via transformadores para reduzir as perdas por efeito Joule na linha."
"O que ocorre com a força magnética entre dois condutores paralelos se as correntes tiverem sentidos opostos?","Eles se repelem mutuamente."
"O que acontece com a velocidade de uma carga se ela for lançada paralelamente a um campo magnético uniforme?","A carga manterá um Movimento Retilíneo Uniforme ($MRU$), pois a força magnética será nula."
"Como o campo magnético terrestre protege a Terra?","Desviando partículas carregadas provenientes do espaço (vento solar) por meio da força de Lorentz."
"Na Lei de Faraday, o que significa o sinal negativo na fórmula $\epsilon = - \frac{\Delta \Phi}{\Delta t}$?","Reflete a Lei de Lenz, indicando que a fem induzida se opõe à variação do fluxo."
"Qual é a característica do campo magnético externo a um solenoide longo e ideal?","O campo magnético externo é considerado nulo."
"O que define a constante de permeabilidade magnética relativa $\mu_r$?","A razão entre o campo magnético no material ($B$) e o campo no vácuo ($B_0$): $\mu_r = \frac{B}{B_0}$."
