Como são denominadas as regiões de um ímã onde a atração de limalha de ferro é mais intensa?	Polos magnéticos.
Qual é o efeito indesejado mais comum das correntes de Foucault em máquinas elétricas?	Aquecimento do condutor por efeito Joule (perda de energia).
Como se reduz a intensidade das correntes de Foucault em núcleos de transformadores?	Utilizando núcleos laminados com isolamento entre as lâminas.
Qual é a função básica de uma bobina de indução?	Obtenção de elevadas diferenças de potencial (ddp) a partir de correntes contínuas interrompidas.
Nos captadores de guitarras elétricas, o que gera a corrente induzida transmitida ao alto-falante?	A oscilação da corda magnetizada, que faz variar o fluxo magnético através da bobina do captador.
Qual é a fórmula da fem induzida ($\epsilon$) em um condutor retilíneo de comprimento $L$ que se move com velocidade $v$ perpendicular a um campo $B$?	$\epsilon = B \cdot L \cdot v$.
O fenômeno da supercondutividade consiste na condução de corrente elétrica sem _____ energética em temperaturas muito baixas.	Perda.
O que define a imantação residual ($B_R$) em um gráfico de substância ferromagnética?	O valor do campo magnético que permanece na substância mesmo quando a corrente externa é anulada.
Qual é a aplicação prática das correntes de Foucault no setor industrial para fundição de metais?	Fornos de indução.
No funcionamento de um amperímetro analógico, o que equilibra o binário das forças magnéticas?	O binário de reação das molas do aparelho.
Como se chama o movimento de rotação do elétron em torno de si mesmo que contribui para o magnetismo?	Spin.
O Maglev (trem de levitação magnética) utiliza o princípio de _____ de polos magnéticos para flutuar e se impulsionar.	Atração e repulsão.
Em um campo magnético uniforme, as linhas de indução são retas paralelas _____ espaçadas.	Igualmente.
A força magnética exercida sobre uma carga em repouso em um campo magnético constante é _____.	Nula.
Qual é a direção do vetor indução magnética ($B$) em um ponto $P$ determinado por uma agulha magnética?	A direção definida pelo eixo Norte-Sul da agulha em equilíbrio.
O sentido do vetor indução magnética ($B$) em um ponto é aquele para o qual aponta o polo _____ da agulha magnética.	Norte.
Na lei de Ampère, a circulação do vetor $B$ em um percurso fechado é proporcional à soma das _____ enlaçadas.	Correntes elétricas.
O que acontece com a força magnética entre dois condutores paralelos se dobrarmos a distância entre eles?	A intensidade da força é reduzida à metade.
Como se chama o ferro que se desimanta rapidamente ao cessar a corrente elétrica?	Ferro doce.
A agulha de uma bússola se orienta devido à existência de um campo magnético ao redor da _____.	Terra.
Em uma espira retangular paralela ao campo $B$, o momento de rotação é _____.	Máximo.
Em uma espira retangular perpendicular ao campo $B$, o momento de rotação é _____.	Nulo.
O sinal de menos na Lei de Faraday-Neumann é uma representação matemática da Lei de _____.	Lenz.
O fluxo magnético através de uma espira é zero quando o vetor normal à área é _____ ao vetor $B$.	Perpendicular ($\theta = 90^\circ$).
