Quando a umidade relativa do ar é igual a $100\%$?,"Quando o ambiente está saturado, ou seja, a pressão parcial de vapor ($f$) é igual à pressão máxima de vapor ($F$)."
Sob quais condições de pressão ocorre a sublimação de um sólido cristalino ao receber calor?,Sob pressões inferiores à pressão do ponto triplo da substância.
Por que o 'gelo-seco' recebe esse nome em condições ambientes?,Porque ele sublima diretamente do estado sólido para o gasoso sem passar pela fase líquida sob pressão atmosférica.
Qual é o processo físico utilizado na liofilização para remover a água de alimentos?,Sublimação sob pressão reduzida após o congelamento do material.
Em que temperatura o iodo cristalino passa diretamente para a fase de vapor sob pressão normal?,"$185,3\text{ }^\circ\text{C}$."
O que acontece com os vapores de iodo ao entrarem em contato com uma superfície fria?,"Eles sofrem cristalização (sublimação inversa), formando cristais sólidos."
Qual substância apresenta os menores valores conhecidos de temperatura e pressão críticas?,Hélio.
"No diagrama de fases, qual região está situada entre a curva de fusão e a curva de vaporização?",A fase líquida.
O que indica um patamar horizontal em um gráfico de pressão por volume ($pV$) durante uma compressão isotérmica?,A ocorrência de uma mudança de fase (condensação) onde a pressão permanece constante.
Como se define a 'volatilidade' de um líquido em termos de evaporação?,É a tendência de um líquido evaporar rapidamente devido a forças de coesão molecular fracas.
Qual é a unidade de medida da pressão máxima de vapor no ponto triplo da água no SI?,"$4,58\text{ mmHg}$ (embora o mmHg não seja a unidade base do SI, é a citada no texto)."
O que acontece com o volume de uma mistura de gelo e água a $0\text{ }^\circ\text{C}$ ao receber calor?,"O volume diminui, pois a fusão do gelo ocorre com contração volumétrica."
Qual é a utilidade de uma autoclave?,Esterilização de instrumentos através de vapor de água a altas temperaturas e pressões.
"Em um diagrama de fases, onde se localiza a fase de vapor em relação às curvas?",Abaixo da curva de vaporização e à direita da curva de sublimação.
Como a natureza do líquido afeta a constante $K$ na fórmula de Dalton para evaporação?,"Líquidos voláteis (como o éter) possuem um valor de $K$ alto, enquanto líquidos fixos (como óleos) possuem um $K$ baixo."
O que é o 'vapor saturante' em termos de equilíbrio molecular?,É um equilíbrio dinâmico onde a taxa de vaporização é igual à taxa de condensação.
