Como a Termodinâmica é definida no contexto das trocas energéticas?,O estudo das relações entre calor trocado e trabalho realizado em um processo físico.
Como se define o Zero Absuoluto ($0\ K$) em termos de rendimento de uma máquina de Carnot?,A temperatura da fonte fria necessária para que a máquina apresente rendimento de $100\%$.
O que afirma o Princípio da Degradação da Energia?,"À medida que o Universo evolui, diminui a possibilidade de se conseguir energia útil de um sistema."
Por que a energia térmica é chamada de 'energia degradada'?,Porque é uma forma desordenada de energia para a qual todas as outras formas tendem a se converter espontaneamente.
Termo: Entropia,Definição: Propriedade intrínseca dos sistemas que mede o grau de desordem ou a indisponibilidade de energia útil.
Qual é a tendência da entropia do Universo em todos os fenômenos naturais?,Tender a aumentar com o tempo.
Qual é a unidade de variação de entropia no Sistema Internacional (SI)?,Joule por kelvin ($J/K$).
Qual é a fórmula da variação de entropia ($\Delta S$) em uma transformação isotérmica reversível?,$\Delta S = \frac{Q}{T}$
A variação de entropia depende do caminho percorrido entre dois estados?,"Não, a entropia é uma função de estado e depende apenas dos estados inicial e final."
O que ocorreria com a entropia de um sistema se o 'Demônio de Maxwell' fosse real?,"A entropia diminuiria sem gasto de energia, contrariando a tendência natural para a desordem."
Por que a obtenção de trabalho é maior quando a troca de calor ocorre em temperaturas mais altas?,Porque a incapacidade de realizar trabalho (degradação) é maior quanto menor a temperatura do sistema.
"Em uma expansão livre de um gás no vácuo (processo adiabático sem trabalho), o que acontece com a entropia?","Aumenta, pois a transformação é irreversível e diminui a capacidade do gás de realizar trabalho futuro."
"No Ciclo de Carnot, em qual etapa o gás recebe calor da fonte quente?",Na expansão isotérmica ($AB$).
"No Ciclo de Carnot, em qual etapa o gás rejeita calor para a fonte fria?",Na compressão isotérmica ($CD$).
Qual é a relação de proporcionalidade no Ciclo de Carnot entre os calores e as temperaturas das fontes?,$\frac{Q_1}{T_1} = \frac{Q_2}{T_2}$
O que acontece com a capacidade de produzir trabalho quando dois corpos atingem o equilíbrio térmico?,"Eles perdem a capacidade de produzir trabalho, pois não há mais diferença de temperatura para acionar uma máquina."
Por que não é possível atingir o Zero Absoluto na prática?,Porque violaria a impossibilidade de se ter uma máquina com rendimento de $100\%$.
