Front,Back
"O que acontece com a amplitude de vibração de um corpo ao entrar em ressonância?","A amplitude aumenta significativamente devido à absorção eficiente de energia da fonte."
"Qual é a relação entre o comprimento de onda fundamental ($\lambda_1$) e o comprimento ($L$) de um tubo fechado?","O comprimento de onda fundamental é $\lambda_1 = 4L$."
"Como a interferência destrutiva é aplicada na 'tecnologia do silêncio'?","O sistema emite uma onda sonora em oposição de fase ao ruído para anulá-lo."
"O que define o timbre de uma nota musical emitida por uma fonte vibrante?","A combinação e as intensidades relativas dos diversos harmônicos que acompanham o som fundamental."
"Equação fundamental da ondulatória aplicada ao som.","$v = \lambda \cdot f$."
"Por que a propagação sonora é mais lenta em meios gasosos?","Devido à necessidade de colisões casuais entre moléculas para transmitir a onda de pressão."
"Como é denominada tecnicamente a velocidade superior a Mach 5?","Velocidade hipersônica."
"Qual é a característica física da embocadura de um instrumento de sopro?","É o local onde a vibração é estimulada e sempre se forma um ventre de deslocamento."
"Qual o impacto do aumento da temperatura na velocidade do som em fluidos?","O aumento da temperatura eleva a agitação molecular, acelerando a propagação sonora."
"Como se chama a flutuação periódica na intensidade sonora resultante da interferência de frequências próximas?","Batimento."
"Por que voos supersônicos comerciais são evitados sobre regiões habitadas?","Para prevenir danos materiais e lesões auditivas causados pelo estrondo sônico."
"Qual é o limite superior de frequência de batimento que o sistema auditivo humano consegue distinguir?","Aproximadamente $7\text{ Hz}$."
"O que define um 'nó' em uma onda estacionária de pressão?","É o ponto onde a variação de pressão é máxima e o deslocamento das moléculas é nulo."
"Se a velocidade do som dobra ao mudar de meio, o que ocorre com o comprimento de onda?","O comprimento de onda também dobra, mantendo a frequência constante."
"Como se denomina a menor frequência natural de vibração de uma fonte sonora?","Frequência fundamental."
"Qual a relação entre as frequências de uma nota musical e sua oitava superior?","A frequência da oitava superior é o dobro da frequência da nota original."
"O que ocorre mecanicamente na extremidade fechada de uma coluna de ar vibrante?","A superfície impede o movimento das moléculas, forçando a criação de um nó de deslocamento."
"Quais fatores determinam as diferentes frequências das notas em um piano?","O comprimento, a densidade e a tensão das cordas metálicas."
"Em gases perfeitos, a velocidade do som depende da pressão do gás?","Não, a velocidade independe da pressão e da densidade do gás sob temperatura constante."
"Qual é a finalidade principal do uso de um diapasão na música?","Servir como padrão de frequência conhecida para a afinação de instrumentos e vozes."
"No Efeito Doppler, qual a percepção quando a fonte sonora se aproxima do observador?","A frequência percebida é maior que a real, resultando em um som mais agudo."
"Qual a função física da caixa de ressonância em instrumentos de corda?","Amplificar a intensidade sonora ao vibrar em ressonância com as cordas."
"O que define a ordem de um harmônico em uma corda vibrante presa nas pontas?","O número de ventres (fuso) presentes na onda estacionária formada."
"Por que a velocidade do som é informada acompanhada da temperatura do meio?","Porque a temperatura altera a agitação molecular e, consequentemente, a velocidade de propagação."
