Como é definido o fluxo de calor ($F$) através de uma superfície?,É a quantidade de calor transmitida por unidade de tempo ($F = \frac{Q}{\Delta t}$).
Por que os pássaros eriçam suas penas no inverno?,"Para acumular ar entre as penas, criando uma camada isolante que diminui a perda de calor por condução."
Qual é a função das roupas de lã para os beduínos no deserto durante o dia?,"Isolar o corpo do ambiente extremamente quente, minimizando o ganho de calor."
Como as estufas de plantas retêm calor utilizando vidro?,"O vidro permite a entrada de luz visível, mas bloqueia a saída da radiação infravermelha emitida pelas plantas aquecidas."
O processo de transmissão de calor que ocorre no vácuo é a _____.,irradiação
"Na Lei de Fourier, o fluxo de calor é _____ proporcional à área da seção transversal.",diretamente
O poder emissivo de um corpo é proporcional à quarta potência de sua _____.,temperatura absoluta (em Kelvin)
Qual é o efeito da serragem utilizada para conservar gelo?,O ar preso entre as fibras da serragem atua como um excelente isolante térmico.
A potência líquida de radiação ($P_L$) é positiva quando a temperatura do ambiente é _____ que a do corpo.,maior
O que acontece com a chama de uma Lâmpada de Davy na presença de gás metano?,"Ocorre uma pequena explosão interna que apaga a chama, servindo como sinal de alerta."
Por que sentimos que o metal está mais frio que a madeira mesmo estando à mesma temperatura ambiente?,"Porque o metal possui maior condutividade térmica, retirando calor da mão mais rapidamente."
Qual é a principal aplicação dos exaustores eólicos em telhados?,"Facilitar a saída do ar quente por convecção, melhorando o conforto térmico do ambiente."
"Em uma garrafa térmica, a vedação com tampa apropriada visa reduzir principalmente a _____.",convecção
Qual é o valor aproximado da constante de Stefan-Boltzmann ($k$) no SI?,"$5,67 \cdot 10^{-8} \frac{W}{m^2 \cdot K^4}$"
"O fluxo de calor por condução em um material homogêneo depende da natureza do material, da área, da espessura e da _____.",diferença de temperatura ($\Delta \theta$)
Corpos claros e polidos tendem a ser _____ absorvedores de radiação.,maus
"A fuligem, com absorvidade próxima a $0,94$, é considerada um excelente _____ de radiação.",emissor (e absorvedor)
O termo 'caloria alimentar' ($1 \text{ kcal}$) equivale a aproximadamente quantos Joules?,$4 \cdot 10^3 \text{ J}$
